City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Maceio,BR,75.2,clear sky,-9.67,-35.74,Mercure Maceio Pajucara Hotel
7,Saint-Philippe,RE,69.8,overcast clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
9,Kutum,SD,70.81,clear sky,14.2,24.67,Dibbo areaمنطقة دبو
13,Ishigaki,JP,80.6,broken clouds,24.34,124.16,Hotel Peace Land Ishigakijima
14,Ngawi,ID,82.87,scattered clouds,-7.4,111.45,"RUMAH KOST ""GWA NGAWI"""
18,Vao,NC,74.55,overcast clouds,-22.67,167.48,Hotel Kou-Bugny
25,Arraial Do Cabo,BR,68.56,few clouds,-22.97,-42.03,Pousada Porto Praia
28,Port Lincoln,AU,76.28,scattered clouds,-34.73,135.87,Port Lincoln Hotel
30,San Rafael,AR,73.58,broken clouds,-34.62,-68.33,Hotel San Rafael
32,Cabo San Lucas,MX,80.01,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
33,Esperance,AU,75.2,light rain,-33.87,121.9,Hospitality Esperance
34,Avarua,CK,77.0,light rain,-21.21,-159.78,Paradise Inn
35,Sakakah,SA,69.8,dust,29.97,40.21,Fakhamat Al Orjoana Apartment
38,Saint-Pierre,RE,69.8,overcast clouds,-21.34,55.48,Lindsey Hôtel
42,Rikitea,PF,74.16,overcast clouds,-23.12,-134.97,Pension Maro'i
43,Labuhan,ID,81.66,overcast clouds,-6.88,112.21,bador sepret
46,Kutiyana,IN,75.15,clear sky,21.62,69.98,દેવંગી પાન
47,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
50,Hithadhoo,MV,83.46,light rain,-0.6,73.08,Scoop Guest House
52,Torit,SS,71.76,overcast clouds,4.41,32.57,Diplomat Guest House
55,Vaini,TO,78.8,broken clouds,-21.2,-175.2,Keleti Beach Resort
57,Dayong,CN,77.0,few clouds,25.02,118.29,Haiyue Express Hotel
59,Male,MV,82.4,few clouds,4.17,73.51,Hotel Octave Maldives
60,Guerrero Negro,MX,71.94,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
65,Puerto Leguizamo,CO,73.42,overcast clouds,-0.19,-74.78,la casona de juancho
66,Henderson,US,78.8,clear sky,36.04,-114.98,Hawthorn Suites By Wyndham Las Vegas/Henderson
67,Hervey Bay,AU,84.99,scattered clouds,-25.3,152.85,Shelly Bay Resort
68,Umm Kaddadah,SD,79.21,few clouds,13.6,26.69,
