City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vardo,NO,70.37,31.11,45.14,85,100,28.32,overcast clouds
1,Ribeira Grande,PT,38.52,-28.7,63.64,74,96,18.66,overcast clouds
2,Port Elizabeth,ZA,-33.92,25.57,64.4,88,40,11.41,scattered clouds
3,Maceio,BR,-9.67,-35.74,75.2,88,0,6.93,clear sky
4,Ylojarvi,FI,61.56,23.6,46.4,81,90,13.87,overcast clouds
5,Hami,CN,42.8,93.45,39.79,59,0,7.07,clear sky
6,Novorzhev,RU,57.03,29.33,34.39,91,5,4.14,clear sky
7,Saint-Philippe,RE,-21.36,55.77,69.8,56,90,5.82,overcast clouds
8,Alyangula,AU,-13.85,136.42,96.8,26,70,8.05,broken clouds
9,Kutum,SD,14.2,24.67,70.81,33,0,17.16,clear sky
10,Sitka,US,57.05,-135.33,48.2,87,90,21.92,heavy intensity rain
11,Barrow,US,71.29,-156.79,28.4,68,75,18.34,broken clouds
12,East London,ZA,-33.02,27.91,64.99,82,68,14.79,broken clouds
13,Ishigaki,JP,24.34,124.16,80.6,74,75,14.99,broken clouds
14,Ngawi,ID,-7.4,111.45,82.87,71,48,4.59,scattered clouds
15,Berlevag,NO,70.86,29.09,43.54,86,100,32.17,overcast clouds
16,Ercis,TR,39.03,43.36,53.6,32,40,8.05,scattered clouds
17,Aklavik,CA,68.22,-135.01,12.2,92,98,2.24,overcast clouds
18,Vao,NC,-22.67,167.48,74.55,83,100,17.25,overcast clouds
19,Hamilton,US,39.18,-84.53,39.2,44,90,11.41,overcast clouds
20,Coihaique,CL,-45.58,-72.07,57.2,54,0,3.36,clear sky
21,Yellowknife,CA,62.46,-114.35,12.99,85,75,18.34,light snow
22,Busselton,AU,-33.65,115.33,62.01,86,100,5.91,overcast clouds
23,Ushuaia,AR,-54.8,-68.3,57.2,54,75,3.36,broken clouds
24,Sechura,PE,-5.56,-80.82,64.58,79,100,15.21,overcast clouds
25,Arraial Do Cabo,BR,-22.97,-42.03,68.56,75,11,16.13,few clouds
26,Tuktoyaktuk,CA,69.45,-133.04,14.0,85,90,12.75,light snow
27,Qaanaaq,GL,77.48,-69.36,2.79,74,0,6.44,clear sky
28,Port Lincoln,AU,-34.73,135.87,76.28,40,29,13.94,scattered clouds
29,Saurimo,AO,-9.66,20.39,64.04,91,0,3.56,clear sky
30,San Rafael,AR,-34.62,-68.33,73.58,21,53,10.07,broken clouds
31,Port Hawkesbury,CA,45.62,-61.35,50.0,81,75,13.87,broken clouds
32,Cabo San Lucas,MX,22.89,-109.91,80.01,73,0,1.99,clear sky
33,Esperance,AU,-33.87,121.9,75.2,73,99,12.75,light rain
34,Avarua,CK,-21.21,-159.78,77.0,88,84,14.99,light rain
35,Sakakah,SA,29.97,40.21,69.8,43,20,9.17,dust
36,Bennington,US,42.88,-73.2,39.2,86,90,5.82,light rain
37,Poykovskiy,RU,61.23,73.33,28.4,100,75,11.18,broken clouds
38,Saint-Pierre,RE,-21.34,55.48,69.8,56,90,5.82,overcast clouds
39,Hermanus,ZA,-34.42,19.23,64.0,80,80,7.0,broken clouds
40,Waterloo,CA,43.47,-80.52,33.8,97,90,21.92,overcast clouds
41,Sept-Iles,CA,50.2,-66.38,39.2,93,100,4.7,moderate rain
42,Rikitea,PF,-23.12,-134.97,74.16,85,93,23.53,overcast clouds
43,Labuhan,ID,-6.88,112.21,81.66,76,100,6.38,overcast clouds
44,Broome,US,42.25,-75.83,36.0,80,90,13.87,overcast clouds
45,Mataura,NZ,-46.19,168.86,55.0,68,83,13.0,broken clouds
46,Kutiyana,IN,21.62,69.98,75.15,25,1,7.78,clear sky
47,Georgetown,MY,5.41,100.34,80.6,88,20,3.36,few clouds
48,Udachnyy,RU,66.42,112.4,6.8,84,90,8.95,light snow
49,Norman Wells,CA,65.28,-126.83,5.0,77,75,5.82,broken clouds
50,Hithadhoo,MV,-0.6,73.08,83.46,73,100,7.96,light rain
51,Sorland,NO,67.67,12.69,49.96,79,100,27.29,light rain
52,Torit,SS,4.41,32.57,71.76,78,93,1.14,overcast clouds
53,Goderich,CA,43.75,-81.72,35.6,88,100,31.09,overcast clouds
54,Kachiry,KZ,53.07,76.1,37.87,95,100,12.73,light rain
55,Vaini,TO,-21.2,-175.2,78.8,83,75,10.29,broken clouds
56,Albany,US,42.6,-73.97,39.99,95,95,9.4,overcast clouds
57,Dayong,CN,25.02,118.29,77.0,53,20,15.66,few clouds
58,Cape Town,ZA,-33.93,18.42,62.6,72,0,8.05,clear sky
59,Male,MV,4.17,73.51,82.4,78,20,5.82,few clouds
60,Guerrero Negro,MX,27.98,-114.06,71.94,58,0,11.23,clear sky
61,Beringovskiy,RU,63.05,179.32,24.69,94,100,2.75,overcast clouds
62,Torbay,CA,47.67,-52.73,37.0,74,20,12.75,few clouds
63,North Bend,US,43.41,-124.22,59.0,87,1,3.4,clear sky
64,Bredasdorp,ZA,-34.53,20.04,64.4,82,100,10.29,overcast clouds
65,Puerto Leguizamo,CO,-0.19,-74.78,73.42,95,100,1.07,overcast clouds
66,Henderson,US,36.04,-114.98,78.8,9,1,8.05,clear sky
67,Hervey Bay,AU,-25.3,152.85,84.99,58,40,17.22,scattered clouds
68,Umm Kaddadah,SD,13.6,26.69,79.21,25,17,22.39,few clouds
69,Umm Lajj,SA,25.02,37.27,77.86,66,0,6.58,clear sky
70,Airai,TL,-8.93,125.41,76.75,43,100,4.47,overcast clouds
71,Punta Arenas,CL,-53.15,-70.92,51.8,76,0,3.36,clear sky
72,Nouakchott,MR,18.09,-15.98,75.2,60,100,9.17,overcast clouds
73,Ginir,ET,7.13,40.7,55.44,91,0,4.76,clear sky
74,Ilulissat,GL,69.22,-51.1,19.4,67,100,6.93,light snow
75,Jamestown,US,42.1,-79.24,35.01,92,90,14.99,mist
76,Tuatapere,NZ,-46.13,167.68,55.0,68,13,13.0,few clouds
77,Shingu,JP,33.73,135.98,69.8,73,75,8.05,broken clouds
78,Pochutla,MX,15.74,-96.47,74.43,87,0,2.75,light rain
79,Castro,BR,-24.79,-50.01,49.87,95,16,7.4,few clouds
80,Port Alfred,ZA,-33.59,26.89,64.45,83,42,17.0,scattered clouds
81,Upper Arlington,US,39.99,-83.06,36.0,51,90,20.8,overcast clouds
82,Makakilo City,US,21.35,-158.09,82.4,65,20,9.17,few clouds
83,Druzhba,UA,52.04,33.95,46.6,89,92,4.61,overcast clouds
84,Bardiyah,LY,31.76,25.09,67.91,60,8,6.6,clear sky
85,Nikolskoye,RU,59.7,30.79,35.6,100,90,6.71,overcast clouds
86,Dikson,RU,73.51,80.55,18.09,98,97,8.3,overcast clouds
87,Vicente Guerrero,MX,19.12,-98.17,54.93,67,14,14.36,few clouds
88,Hobart,AU,-42.88,147.33,73.99,52,0,8.05,clear sky
89,Solnechnyy,RU,50.72,136.63,36.0,81,4,5.46,clear sky
90,Lompoc,US,34.64,-120.46,72.0,68,1,4.7,clear sky
91,Bereda,ES,43.27,-7.54,66.0,100,100,11.99,overcast clouds
92,Husavik,IS,66.04,-17.34,39.2,51,0,5.82,clear sky
93,New Norfolk,AU,-42.78,147.06,75.0,32,99,1.99,overcast clouds
94,Baruun-Urt,MN,46.68,113.28,17.31,77,0,10.96,clear sky
95,Pisco,PE,-13.7,-76.22,64.4,82,90,14.99,overcast clouds
96,Navashino,RU,55.53,42.2,41.11,92,100,6.64,overcast clouds
97,Thaba-Tseka,LS,-29.52,28.61,42.6,87,74,2.64,broken clouds
98,Atuona,PF,-9.8,-139.03,77.68,77,85,13.87,light rain
