City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapoeta,SS,2020-10-29 10:37:05,4.77,33.59,92.62,34,23,22.19
1,Manta,EC,2020-10-29 10:37:05,-0.95,-80.73,71.19,84,100,13.18
2,Atuona,PF,2020-10-29 10:37:05,-9.8,-139.03,77.38,75,16,18.37
3,Punta Arenas,CL,2020-10-29 10:37:05,-53.15,-70.92,44.6,65,40,34.45
4,Pevek,RU,2020-10-29 10:37:06,69.7,170.31,18.61,92,100,10.09
5,Lahij,YE,2020-10-29 10:37:06,13.17,44.58,89.19,27,0,14.88
6,Kaitangata,NZ,2020-10-29 10:37:06,-46.28,169.85,52.0,93,49,7.56
7,Udachnyy,RU,2020-10-29 10:37:06,66.42,112.4,-9.81,89,6,1.54
8,Rikitea,PF,2020-10-29 10:37:07,-23.12,-134.97,73.94,77,100,9.17
9,Namibe,AO,2020-10-29 10:37:07,-15.2,12.15,75.99,70,14,14.34
10,Luwuk,ID,2020-10-29 10:32:25,-0.95,122.79,79.39,75,50,1.43
11,Kahului,US,2020-10-29 10:37:07,20.89,-156.47,75.2,88,90,8.05
12,Roebourne,AU,2020-10-29 10:37:08,-20.78,117.13,76.39,74,0,12.57
13,Neyshabur,IR,2020-10-29 10:37:08,36.21,58.8,65.84,20,7,1.9
14,Albany,US,2020-10-29 10:37:08,42.6,-73.97,43.0,90,100,1.81
15,Brokopondo,SR,2020-10-29 10:37:09,4.75,-55.17,80.19,77,47,9.46
16,Ribeira Grande,PT,2020-10-29 10:37:09,38.52,-28.7,69.8,88,75,27.51
17,Gravdal,NO,2020-10-29 10:37:09,68.12,13.5,39.2,86,75,11.41
18,Vila Velha,BR,2020-10-29 10:35:06,-20.33,-40.29,81.0,78,40,13.87
19,Bluff,NZ,2020-10-29 10:37:10,-46.6,168.33,54.0,89,57,4.0
20,Saint George,US,2020-10-29 10:35:44,37.1,-113.58,46.4,28,1,6.93
21,Hofn,IS,2020-10-29 10:37:10,64.25,-15.21,44.6,70,75,25.28
22,Amboasary,MG,2020-10-29 10:37:11,-25.03,46.38,73.4,83,75,23.04
